name,nationality,gender,industry,death,age,cause,unexpected,controversial,url
Matthew Perry,"Canadian, American",male,cinema,2023-10-28,54,ketamine medication,1,1,https://en.wikipedia.org/wiki/Matthew_Perry
Silvio Berlusconi,Italian,male,politics,2023-06-12,86,illness,0,1,https://en.wikipedia.org/wiki/Silvio_Berlusconi
Pervez Musharraf,Pakistani,male,politics,2023-02-05,79,illness,0,1,https://en.wikipedia.org/wiki/Pervez_Musharraf
Ken Block,American,male,sport,2023-01-02,55,accident,1,0,https://en.wikipedia.org/wiki/Ken_Block
Pope Benedict XVI,German,male,papacy,2022-12-31,95,illness,0,1,https://en.wikipedia.org/wiki/Pope_Benedict_XVI
Jiang Zemin,Chinese,male,politics,2022-11-30,96,illness,0,1,https://en.wikipedia.org/wiki/Jiang_Zemin
Elizabeth II,British,female,monarchy,2022-09-08,96,natural,0,1,https://en.wikipedia.org/wiki/Elizabeth_II
Mikhail Gorbachev,Russian,male,politics,2022-08-30,91,illness,0,1,https://en.wikipedia.org/wiki/Mikhail_Gorbachev
Ayman al-Zawahiri,Egyptian,male,terrorism,2022-07-31,71,drone strike,1,1,https://en.wikipedia.org/wiki/Ayman_al-Zawahiri
Adreian Payne,American,male,sport,2022-05-09,31,assassination,1,0,https://en.wikipedia.org/wiki/Adreian_Payne
Dwayne Haskins,American,male,sport,2022-04-09,24,accident,1,1,https://en.wikipedia.org/wiki/Dwayne_Haskins
Vladimir Zhirinovsky,Russian,male,politics,2022-04-06,75,illness,0,1,https://en.wikipedia.org/wiki/Vladimir_Zhirinovsky
F.W. de Klerk,South African,male,politics,2021-11-11,85,illness,0,1,https://en.wikipedia.org/wiki/F._W._de_Klerk
Bernard Tapie,French,male,politics,2021-10-03,78,illness,0,1,https://en.wikipedia.org/wiki/Bernard_Tapie
Diego Maradona,Argentinian,male,sport,2020-11-25,60,cardiac arrest,1,1,https://en.wikipedia.org/wiki/Diego_Maradona
Sean Connery,British,male,cinema,2020-10-31,90,pneumonia,0,0,https://en.wikipedia.org/wiki/Sean_Connery
Kelly Preston,American,female,cinema,2020-07-12,57,illness,1,0,https://en.wikipedia.org/wiki/Kelly_Preston
David Edwards (basketball),American,male,sport,2020-03-24,48,covid-19,1,0,https://en.wikipedia.org/wiki/David_Edwards_(basketball)
Roger Mayweather,American,male,sport,2020-03-17,58,illness,0,1,https://en.wikipedia.org/wiki/Roger_Mayweather
Kobe Bryant,American,male,sport,2020-01-26,41,accident,1,1,https://en.wikipedia.org/wiki/Kobe_Bryant
Juice Wrld,American,male,music,2019-12-08,21,overdose,1,1,https://en.wikipedia.org/wiki/Juice_Wrld
Jacques Chirac,French,male,politics,2019-09-26,86,undisclosed,0,1,https://en.wikipedia.org/wiki/Jacques_Chirac
Eddie Money,American,male,music,2019-09-13,70,illness,1,0,https://en.wikipedia.org/wiki/Eddie_Money
Anthoine Hubert,French,male,sport,2019-08-31,22,accident,1,0,https://en.wikipedia.org/wiki/Anthoine_Hubert
Gary Ray Bowles,American,male,crime,2019-08-22,57,sentenced,0,1,https://en.wikipedia.org/wiki/Gary_Ray_Bowles
Peter Fonda,American,male,cinema,2019-08-16,79,illness,0,0,https://en.wikipedia.org/wiki/Peter_Fonda
Bobby Joe Long,American,male,crime,2019-05-23,65,sentenced,0,1,https://en.wikipedia.org/wiki/Bobby_Joe_Long
Doris Day,American,female,cinema,2019-05-13,97,illness,0,0,https://en.wikipedia.org/wiki/Doris_Day
Peter Mayhew,"British, American",male,cinema,2019-04-30,74,heart attack,0,0,https://en.wikipedia.org/wiki/Peter_Mayhew
Carol Channing,American,female,cinema,2019-01-15,97,natural,0,0,https://en.wikipedia.org/wiki/Carol_Channing
George H. W. Bush,American,male,politics,2018-11-30,94,illness,0,1,https://en.wikipedia.org/wiki/George_H._W._Bush
Stephen Hillenburg,American,male,cinema,2018-11-26,57,illness,0,1,https://en.wikipedia.org/wiki/Stephen_Hillenburg
Stan Lee,American,male,cinema,2018-11-12,95,cardiac arrest,0,1,https://en.wikipedia.org/wiki/Stan_Lee
Mac Miller,American,male,music,2018-09-07,26,overdose,1,0,https://en.wikipedia.org/wiki/Mac_Miller
XXXTentacion,American,male,music,2018-06-18,20,assassination,1,1,https://en.wikipedia.org/wiki/XXXTentacion
Avicii,Swedish,male,music,2018-04-20,28,suicide,1,0,https://en.wikipedia.org/wiki/Avicii
Carlton Gary,American,male,crime,2018-03-15,67,sentenced,0,1,https://en.wikipedia.org/wiki/Carlton_Gary
Stephen Hawking,British,male,academia,2018-03-14,76,illness,0,0,https://en.wikipedia.org/wiki/Stephen_Hawking
Anthony Allen Shore,American,male,crime,2018-01-18,55,sentenced,0,1,https://en.wikipedia.org/wiki/Anthony_Allen_Shore
Johnny Hallyday,French,male,music,2017-12-07,74,illness,0,0,https://en.wikipedia.org/wiki/Johnny_Hallyday
Lil Peep,American,male,music,2017-11-15,21,overdose,1,0,https://en.wikipedia.org/wiki/Lil_Peep
Fats Domino,American,male,music,2017-10-24,89,natural,0,0,https://en.wikipedia.org/wiki/Fats_Domino
Chris Cornell,American,male,music,2017-05-18,52,suicide,1,0,https://en.wikipedia.org/wiki/Chris_Cornell
Chuck Berry,American,male,music,2017-03-18,90,cardiac arrest,0,1,https://en.wikipedia.org/wiki/Chuck_Berry
Mary Tyler Moore,American,female,cinema,2017-01-25,80,cardiac arrest,0,0,https://en.wikipedia.org/wiki/Mary_Tyler_Moore
Om Puri,Indian,male,cinema,2017-01-06,66,heart attack,1,1,https://en.wikipedia.org/wiki/Om_Puri
Carrie Fisher,American,female,cinema,2016-12-27,60,cardiac arrest,1,0,https://en.wikipedia.org/wiki/Carrie_Fisher
George Michael,British,male,music,2016-12-25,53,natural,1,1,https://en.wikipedia.org/wiki/George_Michael
Alan Thicke,"Canadian, American",male,cinema,2016-12-13,69,aortic dissection,1,0,https://en.wikipedia.org/wiki/Alan_Thicke
Fidel Castro,Cuban,male,politics,2016-11-25,90,undisclosed,0,1,https://en.wikipedia.org/wiki/Fidel_Castro
Florence Henderson,American,female,cinema,2016-11-24,82,heart failure,0,0,https://en.wikipedia.org/wiki/Florence_Henderson
Leonard Cohen,Canadian,male,music,2016-11-07,82,illness,0,0,https://en.wikipedia.org/wiki/Leonard_Cohen
Gene Wilder,American,male,cinema,2016-08-29,83,illness,0,0,https://en.wikipedia.org/wiki/Gene_Wilder
Manohar Aich,Indian,male,sport,2016-06-05,104,natural,0,1,https://en.wikipedia.org/wiki/Manohar_Aich
Muhammad Ali,American,male,sport,2016-06-03,74,septic shock,0,0,https://en.wikipedia.org/wiki/Muhammad_Ali
Prince (musician),American,male,music,2016-04-21,57,overdose,1,1,https://en.wikipedia.org/wiki/Prince_(musician)
Kevin Randleman,American,male,sport,2016-02-11,44,illness,1,1,https://en.wikipedia.org/wiki/Kevin_Randleman
Oscar Ray Bolin,American,male,crime,2016-01-16,53,sentenced,0,1,https://en.wikipedia.org/wiki/Oscar_Ray_Bolin
Alan Rickman,British,male,cinema,2016-01-14,69,illness,0,0,https://en.wikipedia.org/wiki/Alan_Rickman
David Bowie,British,male,music,2016-01-10,69,illness,1,1,https://en.wikipedia.org/wiki/David_Bowie
Natalie Cole,American,female,music,2015-12-31,65,illness,0,1,https://en.wikipedia.org/wiki/Natalie_Cole
Lemmy,American,male,music,2015-12-28,70,illness,1,1,https://en.wikipedia.org/wiki/Lemmy
Alfredo Prieto,American,male,crime,2015-10-01,49,sentenced,0,1,https://en.wikipedia.org/wiki/Alfredo_Prieto
Tariq Aziz,Iraqi,male,politics,2015-06-05,79,illness,0,1,https://en.wikipedia.org/wiki/Tariq_Aziz
Malcolm Fraser,Australian,male,politics,2015-03-20,84,illness,0,1,https://en.wikipedia.org/wiki/Malcolm_Fraser
Florence Arthaud,French,female,sport,2015-03-09,57,accident,1,0,https://en.wikipedia.org/wiki/Florence_Arthaud
Camille Muffat,French,female,sport,2015-03-09,25,accident,1,0,https://en.wikipedia.org/wiki/Camille_Muffat
Alexis Vastine,French,male,sport,2015-03-09,28,accident,1,0,https://en.wikipedia.org/wiki/Alexis_Vastine
Leonard Nimoy,American,male,cinema,2015-02-27,83,illness,0,0,https://en.wikipedia.org/wiki/Leonard_Nimoy
Marcia Strassman,American,female,cinema,2014-10-24,66,illness,0,0,https://en.wikipedia.org/wiki/Marcia_Strassman
Joan Rivers,American,female,cinema,2014-09-04,81,accident,1,1,https://en.wikipedia.org/wiki/Joan_Rivers
Robin Williams,American,male,cinema,2014-08-11,63,suicide,1,0,https://en.wikipedia.org/wiki/Robin_Williams
Chester Bennington,American,male,music,2017-07-20,41,suicide,1,0,https://en.wikipedia.org/wiki/Chester_Bennington
Nadine Gordimer,South African,female,academia,2014-07-13,90,natural,0,1,https://en.wikipedia.org/wiki/Nadine_Gordimer
Toni Morrison,American,female,academia,2019-08-05,88,pneumonia,0,1,https://en.wikipedia.org/wiki/Toni_Morrison
Betty Williams,Northern Irish,female,academia,2020-03-17,76,pneumonia,0,0,https://en.wikipedia.org/wiki/Betty_Williams
Ahmed Zewail,"Egyptian, American",male,academia,2016-08-02,70,undisclosed,0,1,https://en.wikipedia.org/wiki/Ahmed_Zewail
John Forbes Nash Jr.,American,male,academia,2015-05-23,86,accident,1,1,https://en.wikipedia.org/wiki/John_Forbes_Nash_Jr.
Elie Wiesel,"Romanian, American",male,academia,2016-07-02,87,illness,0,1,https://en.wikipedia.org/wiki/Elie_Wiesel
Simone Veil,French,female,politics,2017-06-30,89,undisclosed,0,1,https://en.wikipedia.org/wiki/Simone_Veil
